25RC01041,Burglary Remain In Structure,05/01/25 0428Hrs,05/01/25 0340Hrs - 05/01/25 0403Hrs,FRELINGHUYSEN HALL(CPN),Cleared by Arrest,ACADEMIC
25RC01042,Criminal Mischief W/Damage,05/01/25 0428Hrs,05/01/25 0340Hrs - 05/01/25 0403Hrs,FRELINGHUYSEN HALL(CPN),Cleared by Arrest,ACADEMIC
25RC01046,Harassment,05/01/25 1001Hrs,04/29/25 1200Hrs,COLLEGE Int.SENIOR - New Brunswick; SONNY A. WERBLIN RECREATION CENTER(CPN),Closed,RECREATION
25RC01054,Theft From Building,05/01/25 2335Hrs,05/01/25 1900Hrs,BUSCH CAMPUS CENTER(CPN),Closed,CAMPUS SERVICES
25-00026,Theft From Building,05/02/25 0152Hrs,05/01/25 2100Hrs - 05/02/25 1040Hrs,University Center at Easton Avenue(CPN),Closed,RESIDENTIAL
25RC01056,Violence,05/02/25 1153Hrs,05/02/25 1155Hrs - 05/02/25 1040Hrs,University Center at Easton Avenue(CPN),Closed,RESIDENTIAL
25RC01057,Harassment,05/02/25 1153Hrs,05/02/25 1155Hrs - 05/02/25 1145Hrs,University Center at Easton Avenue(CPN),Closed,RESIDENTIAL
25RC01060,Theft Of Services,05/02/25 1403Hrs,05/02/25 1145Hrs,BRANDT RESIDENCE HALL(CPN),Closed,RESIDENTIAL
25RC01061,Harassment,05/03/25 0159Hrs,05/03/25 0130Hrs,131 EASTON AVEC(PN),Closed,RESIDENTIAL
25RC01065,Simple Assault Bodily Injury,05/03/25 0159Hrs,05/03/25 0130Hrs,131 EASTON AVEC(PN),Closed,RESIDENTIAL
25RC01067,Strangulation,05/03/25 0733Hrs,05/03/25 0657Hrs,HENDERSON APARTMENTS 1-24(CPN),Cleared by Arrest,RESIDENTIAL
25RC01068,Simple Assault Bodily Injury,05/03/25 0733Hrs,05/03/25 0657Hrs,HENDERSON APARTMENTS 1-24(CPN),Cleared by Arrest,RESIDENTIAL
25RC01069,Violence,05/03/25 0733Hrs,05/03/25 0657Hrs,HENDERSON APARTMENTS 1-24(CPN),Cleared by Arrest,RESIDENTIAL
25RC01074,Burglary By Entering Motor Vehicle,05/04/25 2246Hrs,05/04/25 2200Hrs,ZETA PSI FRATERNITY(CPN),Closed,OTHER
25RC01075,Burglary-Second,05/05/25 0758Hrs,,NEWELL APARTMENTS 57-64(CPN),Cleared by Arrest,RESIDENTIAL
25RC01076,Criminal Mischief W/Damage,05/05/25 0758Hrs,,NEWELL APARTMENTS 57-64(CPN),Cleared by Arrest,RESIDENTIAL
25RC01077,Criminal Trespass,05/05/25 0939Hrs,05/05/25 0914Hrs,Lipman DR - New Brunswick,Closed,STREET/ROADWAY
25RC01080,False Public Alarm,05/05/25 1521Hrs,05/05/25 1520Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Closed,CAMPUS SERVICES
25RC01081,Threaten Violence,05/05/25 1521Hrs,05/05/25 1520Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Closed,CAMPUS SERVICES
25RC01082,Simple Assault Bodily Injury,05/05/25 2008Hrs,,0-0 STATE HWY 18 N / 544-564,Closed,STREET/ROADWAY
25RC01083,Criminal Mischief W/Damage,05/05/25 2008Hrs,,METLARS LNC(PN),Closed,STREET/ROADWAY
25RC01084,Theft From Building,05/05/25 2130Hrs,,0-0 STATE HWY 18 N / 544-564,Closed,STREET/ROADWAY
