25RC01387,Defiant Trespasser,07/02/25 0100Hrs,07/02/25 0010Hrs - 07/02/25 0254Hrs,SCHOOL OF NURSING(CPN),Cleared by Arrest,ACADEMIC
25RC01388,Arrest On Warrant (Other Department),07/02/25 0100Hrs,07/02/25 0010Hrs - 07/02/25 0254Hrs,SCHOOL OF NURSING(CPN),Cleared by Arrest,ACADEMIC
25RC01389,Crime Of Cyber-Harassment,07/02/25 1017Hrs,06/18/25 1322Hrs - 07/03/25 1055Hrs,WOOD LAWN MANSION(CPN),Open/Pending,OTHER
25-00034,Theft From Building,07/03/25 1055Hrs,07/03/25 1451Hrs - 07/03/25 1532Hrs,ALLISON ROAD CLASSROOM ARC BUILDING(CPN),Open/Pending,ACADEMIC
25RC01392,Criminal Trespass,07/03/25 1631Hrs,07/03/25 1532Hrs - 07/03/25 1532Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Cleared by Arrest,CAMPUS SERVICES
25RC01393,Arrest On Warrant (Other Department),07/03/25 1631Hrs,07/03/25 1532Hrs - 07/03/25 1532Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),TOT- Turned Over to Other Agency,CAMPUS SERVICES
25RC01394,Poss Of Drug Paraphernalia,07/03/25 1631Hrs,07/03/25 1532Hrs - 07/03/25 1532Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Cleared by Arrest,CAMPUS SERVICES
25RC01395,Criminal Mischief W/Damage,07/05/25 0040Hrs,07/05/25 0038Hrs - 07/05/25 0039Hrs,LIVINGSTON PARKING DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01396,Driving While Intoxicated,07/06/25 0332Hrs,07/06/25 0304Hrs - 07/06/25 0449Hrs,205-222 EASTON AVE / 84-92 RAY ST(CPN),Cleared by Arrest,STREET/ROADWAY
25RC01397,Arrest On Warrant (Other Department),07/06/25 0332Hrs,07/06/25 0304Hrs - 07/06/25 0449Hrs,205-222 EASTON AVE / 84-92 RAY ST(CPN),Cleared by Arrest,STREET/ROADWAY
25RC01398,Driving While Intoxicated,07/07/25 0144Hrs,07/07/25 0101Hrs - 07/07/25 0133Hrs,EXXON GAS STATION; NJ 181(CPN),Cleared by Arrest,OTHER
25RC01399,Arrest On Warrant (Other Department),07/07/25 0144Hrs,07/07/25 0101Hrs - 07/07/25 0133Hrs,EXXON GAS STATION; NJ 18(CPN),Cleared by Arrest,OTHER
25RC01400,Harassment,07/07/25 2251Hrs,07/07/25 2226Hrs - 07/07/25 2314Hrs,0-0 DAVIDSON RD / 58-608 STATE HWY 18 (SICPN),Closed,STREET/ROADWAY
25RC01401,Violence,07/07/25 2251Hrs,07/07/25 2226Hrs - 07/07/25 2314Hrs,0-0 DAVIDSON RD / 58-608 STATE HWY 18 (SICPN),Closed,STREET/ROADWAY
25RC01402,Criminal Mischief W/Damage,07/08/25 0955Hrs,07/08/25 1430Hrs - 07/08/25 0600Hrs,QDOBA(CPN),Open/Pending,OTHER
25RC01407,Theft Pick-Pocket,07/09/25 0032Hrs,07/08/25 2253Hrs,PARK CONVIENCE(CPN),Open/Pending,OTHER
25RC01411,Arrest On Warrant (Other Department),07/09/25 2240Hrs,07/09/25 2226Hrs,210-227 HAMILTON ST / 35-90 PLUM ST(CPN),Cleared by Arrest,STREET/ROADWAY
25-00035,Burglary By Entering Motor Vehicle,07/10/25 1810Hrs,07/10/25 0905Hrs - 07/10/25 1630Hrs,Ryders LN - New Brunswick,Open/Pending,STREET/ROADWAY
25RC01422,Criminal Mischief - Arson,07/11/25 2056Hrs,07/11/25 2030Hrs - 07/11/25 2113Hrs,COOK/DOUGLASS LECTURE HALL(CPN),Open/Pending,ACADEMIC
25RC01423,Driving While Intoxicated,07/12/25 0250Hrs,07/12/25 0218Hrs - 07/12/25 0529Hrs,LOT 26(CPN),Cleared by Arrest,PARKING LOT
25RC01427,Criminal Trespass,07/14/25 0730Hrs,07/14/25 0652Hrs,LOREE CLASSROOM/OFFICE BUILDING(CPN),Other Enforcement Action,ACADEMIC
25RC01436,Criminal Mischief W/Damage,07/15/25 1303Hrs,07/09/25 1000Hrs - 07/15/25 1226Hrs,Wright Rieman Laboratories(CPN),Open/Pending,ACADEMIC
25RC01438,Criminal Trespass,07/15/25 2117Hrs,07/15/25 2103Hrs,SWINE FARROWING HOUSE(CPN),Open/Pending,ACADEMIC
