25RC01258,Shoplifting Take Merchandise From Store W/O Intent To Pay,06/01/25 1026Hrs,06/01/25 1000Hrs - 06/01/25 1010Hrs,PARK CONVENCE(CPN),Closed,OTHER
25RC01259,Aggravated Assault With Weapon,06/01/25 1355Hrs,06/01/25 1310Hrs - 06/01/25 1414Hrs,A CUT ABOVE(CPN),Cleared by Arrest,OTHER
25RC01260,Poss Of Weapon With Unlawful Purpose,06/01/25 1355Hrs,06/01/25 1310Hrs - 06/01/25 1414Hrs,A CUT ABOVE(CPN),Cleared by Arrest,OTHER
25RC01261,Theft Of Property All Other - Non-Building,06/01/25 2010Hrs,05/29/25 1730Hrs - 06/01/25 1930Hrs,ALLISON ROAD CLASSROOM ARC BUILDING(CPN),Closed,ACADEMIC
25RC01265,Theft By Extortion-Accuse,06/02/25 1139Hrs,04/10/25 1200Hrs,QUADS - SOUTH BOUND(CPN),Closed,RESIDENTIAL
25RC01264,Shoplifting Take Merchandise From Store W/O Intent To Pay,06/02/25 1200Hrs,06/02/25 1056Hrs,PARK CONVENCE(CPN),Cleared by Arrest,OTHER
25RC01266,Assault of Law Enforcement Officers,06/03/25 1019Hrs,06/03/25 1019Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01267,Obstructing Admin Of Law/Governmental Function,06/03/25 1019Hrs,06/03/25 1019Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01268,Resisting Arrest-Risk Of Injury To Public Servant,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01269,Simple Assault Bodily Injury,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01270,Criminal Mischief W/Damage,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01273,Criminal Mischief W/Damage,06/03/25 1338Hrs,06/03/25 1258Hrs,45 KNIGHTSBRIDGE RD(CPN),Closed,STREET/ROADWAY
25RC01281,Suspicious Incident/Cds Related,06/04/25 1154Hrs,06/04/25 1154Hrs,GATEWAY TRANSIT VILLAGE / VUE APARTMENTS(CPN),Closed,RESIDENTIAL
25RC01284,Harassment,06/04/25 1410Hrs,06/04/25 1410Hrs,T-MOBILE; USA 000390 GEORGE NE NEW BRUNSWICK CITY XX +040.499897 - 074.445870(CPN),Closed,OTHER
